Ticket_ID,Age,Ticket_Price,Number_of_Person,Purchase_Again,gasto_total_est,gasto_promedio,Movie_Genre_Comedy,Movie_Genre_Drama,Movie_Genre_Horror,Movie_Genre_Sci-Fi,Seat_Type_Standard,Seat_Type_Vip,age_group_18-24,age_group_25-39,age_group_40-59,age_group_60+,segment
N4369,55,12.27,7.0,0,85.89,12.27,True,False,False,False,True,False,False,False,True,False,3
V6341,55,22.52,3.0,0,67.56,22.52,False,False,True,False,False,True,False,False,True,False,3
B3243,53,23.01,6.0,1,138.06,23.01,False,True,False,False,True,False,False,False,True,False,2
I3814,30,21.81,4.0,1,87.24,21.81,True,False,False,False,False,True,False,True,False,False,0
V4726,44,23.09,7.0,1,161.63,23.09,False,False,False,True,False,False,False,False,True,False,2
H4037,51,21.35,2.0,1,42.7,21.35,False,False,False,False,True,False,False,False,True,False,1
P4991,40,16.75,6.0,0,100.5,16.75,False,False,True,False,False,True,False,False,True,False,0
I7517,35,21.49,2.0,1,42.98,21.49,False,False,True,False,False,True,False,True,False,False,1
Q8198,26,22.32,5.0,1,111.6,22.32,True,False,False,False,False,True,False,True,False,False,0
J1556,23,18.21,4.0,0,72.84,18.21,False,False,True,False,False,False,True,False,False,False,3
Q8269,21,20.46,7.0,0,143.22,20.46,False,True,False,False,False,True,True,False,False,False,2
T5210,37,12.67,6.0,1,76.02,12.67,False,True,False,False,False,True,False,True,False,False,3
P9720,22,11.1,2.0,0,22.2,11.1,False,False,False,True,False,False,True,False,False,False,1
E7092,24,19.56,7.0,0,136.92,19.56,True,False,False,False,False,False,True,False,False,False,2
T7858,60,20.22,2.0,0,40.44,20.22,False,False,False,False,True,False,False,False,False,True,1
A6397,58,15.81,5.0,1,79.05,15.81,False,True,False,False,False,False,False,False,True,False,3
D4217,20,13.39,3.0,0,40.17,13.39,False,False,False,True,True,False,True,False,False,False,1
I6521,49,18.5,7.0,0,129.5,18.5,True,False,False,False,False,True,False,False,True,False,2
K1926,59,21.2,4.0,1,84.8,21.2,True,False,False,False,False,True,False,False,True,False,3
E4059,49,22.32,7.0,1,156.24,22.32,False,True,False,False,False,False,False,False,True,False,2
R6144,29,17.75,3.0,1,53.25,17.75,True,False,False,False,True,False,False,True,False,False,1
L2802,45,14.98,5.0,0,74.9,14.98,True,False,False,False,False,False,False,False,True,False,3
E5484,27,24.7,7.0,1,172.9,24.7,False,True,False,False,False,False,False,True,False,False,2
A8535,50,14.78,5.0,0,73.89999999999999,14.78,False,False,False,True,False,False,False,False,True,False,3
A1178,58,23.78,7.0,0,166.46,23.78,False,False,False,True,False,True,False,False,True,False,2
J5739,57,13.62,3.0,0,40.86,13.62,False,False,False,False,False,False,False,False,True,False,1
N7141,54,19.01,2.0,1,38.02,19.01,False,False,True,False,False,True,False,False,True,False,1
X4553,52,15.56,5.0,0,77.8,15.56,False,False,False,True,False,False,False,False,True,False,3
B2686,22,15.19,3.0,1,45.57,15.19,False,False,False,True,True,False,True,False,False,False,1
O6264,60,11.58,7.0,1,81.06,11.58,False,True,False,False,False,True,False,False,False,True,3
N5266,48,14.04,6.0,0,84.24,14.04,False,True,False,False,False,True,False,False,True,False,3
I5016,54,21.49,7.0,1,150.42999999999998,21.49,False,False,False,True,True,False,False,False,True,False,2
U8801,38,17.67,2.0,0,35.34,17.67,False,False,True,False,False,True,False,True,False,False,1
N2120,25,13.05,6.0,0,78.30000000000001,13.05,False,False,False,False,False,True,False,True,False,False,3
O2106,58,18.95,6.0,0,113.7,18.95,False,True,False,False,False,True,False,False,True,False,0
M1047,59,10.69,6.0,0,64.14,10.69,False,False,False,False,True,False,False,False,True,False,3
F9240,60,23.15,6.0,0,138.89999999999998,23.15,False,False,False,False,False,False,False,False,False,True,2
O3044,18,12.04,6.0,1,72.24,12.04,False,False,False,False,True,False,True,False,False,False,3
F1619,40,13.93,6.0,1,83.58,13.93,True,False,False,False,False,False,False,False,True,False,3
L7684,46,24.35,6.0,1,146.10000000000002,24.35,False,False,True,False,False,True,False,False,True,False,2
M9668,22,21.73,2.0,1,43.46,21.73,False,False,False,True,False,True,True,False,False,False,1
O6443,35,16.33,7.0,1,114.31,16.33,False,False,True,False,True,False,False,True,False,False,0
T2876,60,24.08,4.0,0,96.32,24.08,False,False,True,False,False,False,False,False,False,True,0
P2389,26,22.97,5.0,1,114.85,22.97,False,False,False,True,False,True,False,True,False,False,0
Z3286,38,11.74,6.0,0,70.44,11.74,False,False,False,False,True,False,False,True,False,False,3
G4404,32,10.53,5.0,1,52.65,10.53,False,True,False,False,True,False,False,True,False,False,1
I1671,22,20.38,6.0,0,122.28,20.38,False,True,False,False,False,False,True,False,False,False,0
B4428,33,10.77,6.0,1,64.62,10.77,False,True,False,False,False,True,False,True,False,False,3
K7409,40,13.93,5.0,1,69.65,13.93,False,True,False,False,False,True,False,False,True,False,3
O4468,39,10.45,6.0,1,62.7,10.45,False,True,False,False,False,True,False,True,False,False,3
